id,error_labels,error_llm,chaosnli_low_labels
23751e,,c,n;c
61429c,,,e
54811c,c,,e
12601n,,c,c;e
38477c,,,e
1735n,n,,
7449e,e,,c
24385e,,c,c
49807n,,,c
138448c,,,n
48454c,c,c,c
73260n,e,c,n;c
76219n,,c,c
10229n,,c,c;e
99791n,,c,c
13964e,,c,
66185c,c,,n;c
65066n,,,e
76020e,,c,n;c
83248c,n,n,e
79141n,,c,
97926n,,,c
45957e,,,
24126n,e,c,
135251n,,c,c
48223n,,c,n;c
73518n,,,e
16996e,c,,c
69815n,,,e
35809n,,,c
30282n,,,n
142430c,,,e
127290n,,,c
100792c,e;n,c,e
75572n,,c,c
22235n,,c,c
40486n,,c,c
13133n,,c,c
94674c,,,e
101525c,,e;c,
145495c,,c,e
93357c,,,
42388e,,c,n
22587e,,c,n;c
131261n,,c,c
51353c,,,e
10547c,,,e;n
136360e,,c,n;c
113193n,e,,
120955n,c,c,e
88188e,,,e;c
138966n,c,,e
48222n,,c,c
18428n,,,n;c
116059n,,,c
67610c,,n;c,n
95186n,,,c
77875e,,c,n;c
65879c,,n,n;e
86331e,,c,n
65130n,c,c,c
19578n,,c,c
83657c,,,e
102817c,c,,
124590c,,,e;n
96583n,,c,
132525n,,c,c
11362e,,c,n;c
107468n,e,c,
145047e,,c,c
55888c,,,e
138285n,,c,c
57454c,,,
88605n,,c,c
72721e,,c,c
49611e,,,c
16989c,c,,c
112349c,n,,n
119768n,e,,c
111680e,,c,n;c
43440n,,,e
91709c,,c,e
47798n,,,
103364n,,c,c
49462c,c,,e
97011c,,,
56743e,,c,
48300c,,,
105769c,,,e
53866e,e,c,c
136752e,,c,n;c
14388e,e,c,c
103559e,,c,c
132019n,,c,n
118999n,e,n;c,c
47404e,e,c,c
30171n,,c,c
134514c,,,e;n
52542n,c,c,e;c
47408n,n,,c
135021n,e,,
88605e,,c,n;c
98710n,,c,c
30894c,,n;c,e
81356e,,c,n
132516n,e,,e;c
34176n,,,c
77116e,,,
76947n,,,c
139635n,,c,n;c
101245n,,c,c
8545c,n,e,n;e
8219n,e,c,c
115247c,,,e
99708e,,c,n;c
82415n,c,,
82700c,,,e
1073c,,c,e;c
120149c,,,n
124037n,e,,c
92062c,,,e
131235c,,,n
46820e,c,,c
77590c,,,e;c
128542e,e,c,n
74768e,,n,c
122928e,e,c,n;c
139409e,,c,c
59208n,,,e
133597n,,,c
80517e,,c,c
93236c,,,e
142643c,,,n
31113e,,,c
34776c,c,,e
121422c,,c,c;e
104805e,,n;c,c;e
115821n,,c,c
80630e,c,,c;n
138862c,,,e;c
105179c,,,e
109876n,,c,
65353n,,c,n
16494c,,,e;n
60732n,,,c
88646c,,,n;e
53074n,,c,c
61818n,,,c
46003n,,,c
6386n,,c,c
98739n,,,c
108624c,,,n
106013c,e,,n;e
37407n,,,
70590c,,,e
23901e,,,c
23280n,,,c
135247c,,,e
58357c,,n;c,e
19803e,,c,n;c
144753n,,c,c
15100e,,c,n
28507n,,c,c;n
123748n,,c,n;c
111338c,,n,n;e
52171c,,,n;c
90548e,,n;c,c
81842c,,c,e
91601n,,,e
118415n,,,c
113644n,,,e
47260n,,,c;e
129081e,,,c
18189e,,,c
91797c,,,e
917c,,e,e
89995c,e,c,n;c
33822e,,n;c,c
42983e,,c,
6105e,,c,c
26143n,,,
100768n,,,n
82510e,,c,c
102563n,,,
48553c,,,e
54458n,,c,n
17576n,c;e,,c
103431n,,,n;c
64123c,c,n,e
56163c,,e,e
11297c,n,e,
32889n,,,e
19c,,,e
32754e,,c,n;c
12815n,,c,
135898c,c,,e
82830n,,c,
74509n,,,c;n
98944c,,c,e
19208c,,,e
117576e,,c,c
50484c,,n,e
98445c,c,,c;e
7856c,,c,e
8257n,,c,c
141110n,e,c,c
84055n,c;e,,e
143789n,,c,n;c
13911n,c,,e
122062n,,,c
49396e,,c,c
73444n,,c,c
79106e,,c,c
82230e,,c,c
14280n,,c,e
19668c,n,n,e
12562n,e,,c
111693e,e,,
124839c,,,e
72870n,,,e;c
129601n,,,
26372n,e,c,c
74534n,,c,e
63469c,,,e
141321n,,e,e
68946c,,,e
41975c,,,c;e
100349e,,c,c
107399c,,n,e
131623c,c,,e
58954c,,n,e
74377e,,c,c
130680e,,c,n
49227n,,c,c
124853e,c,c,n
117892n,,c,
111243n,,,c
77654e,,n;c,n;c
110061n,,,c
29844c,,,
27335e,,c,n;c
87332c,e,,e
53499c,e,,n
65199n,,,c
88050c,,e,n
34094e,,c,n;c
72875e,,c,n;c
19921n,,,n;c
23583e,,,e
91106n,,,c
9557e,e,n;c,c
15537n,e,c,c
3476n,,,c
56124n,e,,
5193n,,n;c,n
106390n,,,c
54327n,,,e
2870n,,c,
63218n,,,c
144753c,,n;c,e
73191n,c,c,c
62273n,,c,c
58016c,,,e
45605n,,c,c
82174e,,c,c
123703e,,,
127410n,,,e;n
55572n,,e,
45774c,c,,e
130869n,,,c
93955n,e,c,c
72870c,c;e,,e
77025c,,,e
69975n,,c,e
125238c,,,e
27022c,,,n
66689c,n,,n;e
112547n,e,,c
129081n,,,c;e
45306n,,c,e
76957c,,,e
2262n,e,c,n;c
